20.76,21.75,36.1
20.7,22.51,36.25
20.64,24.66,36.15
20.32,22.25,36.15
20,22.14,36.27
19.68,20.96,36.27
19.36,22.15,36.2
19.41,21.73,36.2
19.46,24.81,37.08
19.51,23.02,37.08
19.56,27.96,37.08
19.34,29.58,30.22
19.11,31.35,30.22
18.88,25.79,36.28
18.65,24.9,36.28
18.76,21.09,36.28
18.86,21.39,36.21
18.97,21.19,36.21
19.13,21.88,36.21
19.06,21.65,63.16
19,21.56,63.16
18.94,21.46,63.16
18.87,23.48,23.01
18.53,23.32,23.01
18.18,24.93,23.01
17.83,25.14,36.22
17.49,24.71,18.31
17.61,20.15,63.18
17.73,19.76,63.18
17.85,15.7,36.17
17.84,17.92,36.12
17.63,19.15,36.12
17.42,17.53,36.18
17.22,17.81,36.18
17.01,17.95,21.89
16.8,18.63,16.45
16.59,17.84,16.45
16.38,18.05,17.09
16.16,18.03,16.34
16.14,17.31,16.06
16.11,17.28,16.42
16.09,17,16.54
16.21,18.07,19.17
15.86,19.88,17.77
15.52,17.95,17.77
15.18,18.06,17.77
14.83,18.54,17.13
14.82,18.29,19.68
14.8,18.11,22.65
14.79,18.1,22.65
14.77,18.02,18.73
14.71,18.1,18.73
14.58,18.01,18.73
14.3,18.1,17.2
