Time Stamp,Name,,LBMP ($/MWHr)
11:00 AM,MHK VL,,33.23
12:00 PM,MHK VL,,21.34
1:00 PM,MHK VL,,15.66
2:00 PM,MHK VL,,27.5
3:00 PM,MHK VL,,13.52
4:00 PM,MHK VL,,12.26
5:00 PM,MHK VL,,23.26
6:00 PM,MHK VL,,28.15
7:00 PM,MHK VL,,14.49
8:00 PM,MHK VL,,23.59
9:00 PM,MHK VL,,28.01
10:00 PM,MHK VL,,12.09
11:00 PM,MHK VL,,20.81
12:00 AM,MILLWD,,13.55
1:00 AM,MILLWD,,25.32
2:00 AM,MILLWD,,33
3:00 AM,MILLWD,,21.47
4:00 AM,MILLWD,,14.52
5:00 AM,MILLWD,,27.49
6:00 AM,MILLWD,,12.78
7:00 AM,MILLWD,,11.56
8:00 AM,MILLWD,,23.21
9:00 AM,MILLWD,,28
10:00 AM,MILLWD,,13.84
11:00 AM,MILLWD,,23.56
12:00 PM,MILLWD,,28.02
1:00 PM,MILLWD,,11.48
2:00 PM,MILLWD,,20.86
3:00 PM,MILLWD,,13.02
4:00 PM,MILLWD,,24.2
5:00 PM,MILLWD,,26.63
6:00 PM,MILLWD,,19.88
7:00 PM,MILLWD,,14.44
8:00 PM,MILLWD,,26.11
9:00 PM,MILLWD,,12.78
10:00 PM,MILLWD,,11.73
11:00 PM,MILLWD,,21.93
12:00 AM,N.Y.C.,,26.65
1:00 AM,N.Y.C.,,13.74
2:00 AM,N.Y.C.,,22.24
3:00 AM,N.Y.C.,,26.62
4:00 AM,N.Y.C.,,11.63
5:00 AM,N.Y.C.,,19.44
6:00 AM,N.Y.C.,,13.19
7:00 AM,N.Y.C.,,23.29
8:00 AM,N.Y.C.,,26.42
9:00 AM,N.Y.C.,,21.44
10:00 AM,N.Y.C.,,14.39
11:00 AM,N.Y.C.,,25.92
12:00 PM,N.Y.C.,,12.7
1:00 PM,N.Y.C.,,11.42
2:00 PM,N.Y.C.,,22.51
3:00 PM,N.Y.C.,,26.46
4:00 PM,N.Y.C.,,13.65
5:00 PM,N.Y.C.,,22.85
6:00 PM,N.Y.C.,,26.35
7:00 PM,N.Y.C.,,11.33
